mexican,5875
italian,5832
chinese,4040
indian,3533
german,2695
thai,1887
greek,1766
jewish,1319
asian,1081
american,876
oriental,725
french,670
spanish,567
irish,549
canadian,539
european,480
british,419
hungarian,356
caribbean,355
middle east,340
indonesian,327
vietnamese,327
polish,325
african,323
russian,316
korean,204
turkish,144
swedish,112
filipino,83
hawaiian,79
israeli,68
australian,57
